2024-01-10 16:48:55 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001CDCF2F9988>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 16:48:55 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001CDCF315408>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 16:48:55 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001CDCF315508>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 16:48:55 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001CDCF315A88>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 16:49:59 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002C294EC6448>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 16:49:59 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002C294E574C8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 16:49:59 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002C294ED7908>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 16:49:59 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002C294EF4208>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 16:49:59 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002C294EF4888>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 16:49:59 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002C294EF4D08>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 17:16:54 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000234C6547648>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 17:16:54 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000234C6586EC8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 17:16:54 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000234C6597D88>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 17:16:54 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000234C65B4448>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 17:16:54 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000234C65B4708>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 17:16:54 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000234C65B4B88>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 17:23:40 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002845BF68C88>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 17:23:40 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002845BF39308>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 17:23:40 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002845BF36A88>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 17:23:40 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002845BF36C48>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 17:23:40 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002845BF56288>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-10 17:23:40 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002845BF73F08>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-20 10:24:19 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000028E840B7B48>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-20 10:24:19 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000028E840B75C8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-20 10:24:19 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000028E84105EC8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-20 10:24:19 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000028E84124408>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-20 10:24:19 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000028E84124608>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
2024-01-20 10:24:19 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000028E84124B48>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')': /api/4504800232407040/envelope/
